Rank,Website,Proper data collected,Banner,Icon?,Manage,Withdrawal Possible,Rejection Direct,,Revocation Method,Path,Keywords,Comment,Extra comments
145,slideshare.net,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
149,hp.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
150,linktr.ee,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
158,slack.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
159,bloomberg.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
160,nature.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
162,wsj.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
165,businessinsider.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
172,springer.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
173,go.com,TRUE,No Banner,Footer,Direct manage options,Withdrawal possible,No Banner,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
178,media.net,TRUE,Banner,Icon,Direct manage options,Withdrawal possible,Direct reject option,Icon,Icon,Zero steps,,,
179,cisco.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
180,dailymotion.com,,,,,,,,,,,,
183,stackoverflow.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
188,quora.com,TRUE,Banner,Footer,Indirect manage options,Withdrawal not possible,Direct reject option,Suggestive or No revocation,Browser settings and Third-party links,Two steps,confidentiality -> cookie policy ,,
190,cnbc.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
191,booking.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
194,outbrain.com,TRUE,Banner,Footer,Indirect manage options,Withdrawal possible,Direct reject option,Other Page,Buttons or links on other pages for popup,Two steps,Cookies -> Cookies Settings,Button,
195,dotomi.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
196,grammarly.com,TRUE,Banner,Footer,Indirect manage options,Withdrawal not possible,Direct reject option,Suggestive or No revocation,Browser settings and Third-party links,Three steps,Privacy Policy -> Cookie Policy -> How to manage your cookie preferences,,
197,appsflyer.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Direct reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
198,tripadvisor.com,,,,,,,,,,,,
200,weather.com,TRUE,Banner,Footer,Direct manage options,Withdrawal possible,Indirect reject option,Footer/Main page/Nag bar,Footer / Main / Nav Bar,One step,,,
